id,file,name,journal,authors,affiliations,len-original,len-anond,anthropic-score-1,anthropic-score-2,anthropic-score-3,anthropic-originality-1,anthropic-rigor-1,anthropic-scope-1,anthropic-impact-1,anthropic-written_by_ai-1,anthropic-originality-2,anthropic-rigor-2,anthropic-scope-2,anthropic-impact-2,anthropic-written_by_ai-2,anthropic-originality-3,anthropic-rigor-3,anthropic-scope-3,anthropic-impact-3,anthropic-written_by_ai-3,Unnamed: 0,gemma-score-1,gemma-score-2,gemma-score-3,gemma-originality-1,gemma-rigor-1,gemma-scope-1,gemma-impact-1,gemma-written_by_ai-1,gemma-originality-2,gemma-rigor-2,gemma-scope-2,gemma-impact-2,gemma-written_by_ai-2,gemma-originality-3,gemma-rigor-3,gemma-scope-3,gemma-impact-3,gemma-written_by_ai-3,llama-score-1,llama-score-2,llama-score-3,llama-originality-1,llama-rigor-1,llama-scope-1,llama-impact-1,llama-written_by_ai-1,llama-originality-2,llama-rigor-2,llama-scope-2,llama-impact-2,llama-written_by_ai-2,llama-originality-3,llama-rigor-3,llama-scope-3,llama-impact-3,llama-written_by_ai-3,openai-score-1,openai-score-2,openai-score-3,openai-originality-1,openai-rigor-1,openai-scope-1,openai-impact-1,openai-written_by_ai-1,openai-originality-2,openai-rigor-2,openai-scope-2,openai-impact-2,openai-written_by_ai-2,openai-originality-3,openai-rigor-3,openai-scope-3,openai-impact-3,openai-written_by_ai-3
4o-app_0,4o-app_0.txt,,,,,545,545,4,4,4,8,9,9,10,1,8,9,9,10,1,8,9,9,10,1,10,3,3,3,6,7,7,6,3,6,7,7,6,3,6,8,7,7,3,5,5,4,8,9,8,7,2,7,9,8,8,2,7,9,8,9,2,4,4,4,8,9,7,9,0,8,9,8,9,2,8,9,7,8,1
4o-app_1,4o-app_1.txt,,,,,536,536,5,4,4,8,9,7,9,1,8,9,9,10,2,8,9,9,10,1,11,3,4,3,7,8,7,6,3,7,8,7,6,3,7,8,7,6,3,6,6,6,8,9,8,9,2,8,9,7,8,2,8,9,8,9,2,4,4,4,8,9,7,8,2,8,9,7,8,2,8,9,8,9,1
4o-app_2,4o-app_2.txt,,,,,626,626,4,4,4,8,9,9,10,2,8,9,9,9,2,8,9,9,10,1,12,3,3,3,6,7,7,6,3,6,7,7,6,3,6,7,7,6,3,5,5,5,8,9,8,9,2,8,9,8,7,2,7,9,8,8,2,4,4,4,7,8,9,8,0,7,8,7,8,2,8,9,7,8,2
4o-app_3,4o-app_3.txt,,,,,627,627,4,4,4,8,9,9,10,1,8,9,9,10,1,8,9,9,10,1,13,3,3,3,6,7,7,6,3,7,8,7,6,3,7,8,7,6,3,6,6,6,8,9,8,8,2,8,9,8,9,2,8,9,8,9,2,4,4,4,8,9,7,8,2,8,9,7,8,0,8,9,7,8,2
4o-app_4,4o-app_4.txt,,,,,660,660,4,4,4,8,9,9,10,1,8,9,9,10,1,8,9,9,10,1,14,3,3,3,7,8,7,7,3,6,7,7,6,3,7,8,7,7,3,6,6,6,8,9,8,9,2,8,9,8,9,2,8,9,7,8,2,4,4,4,8,9,7,8,0,8,9,8,9,2,8,9,7,9,2
4o-fin_0,4o-fin_0.txt,,,,,326,326,4,3,4,8,7,9,9,2,7,8,9,8,2,8,7,9,9,2,15,3,3,3,6,7,7,6,8,6,7,7,6,8,5,6,7,6,7,4,4,4,7,8,9,8,2,6,8,9,8,2,7,9,8,9,2,4,4,4,7,8,9,8,3,8,9,7,8,1,8,7,8,9,1
4o-fin_1,4o-fin_1.txt,,,,,406,406,4,4,4,8,9,9,10,1,8,9,9,10,1,8,9,9,10,1,16,3,3,3,7,8,8,7,3,7,7,8,7,3,7,8,8,7,3,4,5,5,8,9,9,8,2,8,9,9,8,2,8,9,9,8,2,4,4,4,8,9,8,7,2,8,9,8,7,2,8,9,7,8,2
4o-fin_2,4o-fin_2.txt,,,,,397,397,4,4,4,7,8,9,9,2,8,7,9,9,2,8,7,9,9,2,17,3,3,3,6,7,7,6,3,6,7,7,6,8,6,7,7,6,8,4,4,4,7,9,8,9,2,7,8,9,8,4,7,9,8,8,2,3,4,4,8,9,7,8,1,8,7,9,9,2,7,8,8,9,1
4o-fin_3,4o-fin_3.txt,,,,,553,553,4,4,4,8,9,9,10,2,8,9,9,10,1,8,9,9,10,1,18,3,3,3,6,7,7,6,3,6,7,7,6,3,6,7,7,6,4,5,5,4,8,9,8,7,2,8,9,7,8,2,7,9,8,8,2,5,4,4,8,9,7,8,0,8,9,7,8,2,8,9,7,8,1
4o-fin_4,4o-fin_4.txt,,,,,496,496,4,4,4,8,9,9,10,1,8,9,9,10,2,8,9,9,10,1,19,3,3,3,6,7,7,6,3,6,7,7,6,3,6,7,7,6,4,5,5,5,8,9,7,8,2,8,9,8,9,2,8,9,7,8,2,4,4,4,8,9,7,8,1,7,8,6,7,1,7,8,7,8,2
