,id,file,name,journal,authors,affiliations,len-original,len-anond,gemma-0-score-1,gemma-0-score-2,gemma-0-score-3,gemma-0-originality-1,gemma-0-rigor-1,gemma-0-scope-1,gemma-0-impact-1,gemma-0-written_by_ai-1,gemma-0-originality-2,gemma-0-rigor-2,gemma-0-scope-2,gemma-0-impact-2,gemma-0-written_by_ai-2,gemma-0-originality-3,gemma-0-rigor-3,gemma-0-scope-3,gemma-0-impact-3,gemma-0-written_by_ai-3,gemma-1-score-1,gemma-1-score-2,gemma-1-score-3,gemma-1-originality-1,gemma-1-rigor-1,gemma-1-scope-1,gemma-1-impact-1,gemma-1-written_by_ai-1,gemma-1-originality-2,gemma-1-rigor-2,gemma-1-scope-2,gemma-1-impact-2,gemma-1-written_by_ai-2,gemma-1-originality-3,gemma-1-rigor-3,gemma-1-scope-3,gemma-1-impact-3,gemma-1-written_by_ai-3,gemma-10-score-1,gemma-10-score-2,gemma-10-score-3,gemma-10-originality-1,gemma-10-rigor-1,gemma-10-scope-1,gemma-10-impact-1,gemma-10-written_by_ai-1,gemma-10-originality-2,gemma-10-rigor-2,gemma-10-scope-2,gemma-10-impact-2,gemma-10-written_by_ai-2,gemma-10-originality-3,gemma-10-rigor-3,gemma-10-scope-3,gemma-10-impact-3,gemma-10-written_by_ai-3,gemma-50-score-1,gemma-50-score-2,gemma-50-score-3,gemma-50-originality-1,gemma-50-rigor-1,gemma-50-scope-1,gemma-50-impact-1,gemma-50-written_by_ai-1,gemma-50-originality-2,gemma-50-rigor-2,gemma-50-scope-2,gemma-50-impact-2,gemma-50-written_by_ai-2,gemma-50-originality-3,gemma-50-rigor-3,gemma-50-scope-3,gemma-50-impact-3,gemma-50-written_by_ai-3,gemma-100-score-1,gemma-100-score-2,gemma-100-score-3,gemma-100-originality-1,gemma-100-rigor-1,gemma-100-scope-1,gemma-100-impact-1,gemma-100-written_by_ai-1,gemma-100-originality-2,gemma-100-rigor-2,gemma-100-scope-2,gemma-100-impact-2,gemma-100-written_by_ai-2,gemma-100-originality-3,gemma-100-rigor-3,gemma-100-scope-3,gemma-100-impact-3,gemma-100-written_by_ai-3
0,1_0,1. Econometrica/ecta200736.pdf,The Political Economy of Zero-Sum Thinking,Econometrica,S. Nageeb Ali; Maximilian Mihm; Lucas Siga,"Department of Economics, Pennsylvania State University; Division of Social Science, New York University Abu Dhabi; Department of Economics, University of Essex",16496.0,15956.0,3,3,3,6,4,7,5,7,6,4,7,5,3,6,4,7,5,8,3,3,3,7,6,7,6,2,7,6,7,6,2,7,6,7,6,2,3,3,3,7,8,6,7,2,7,8,6,6,2,7,8,6,7,2,3,3,3,7,8,6,7,2,7,6,7,6,3,7,6,8,7,3,3,3,3,7,8,6,5,8,7,6,6,5,8,7,8,6,5,8
1,1_1,1. Econometrica/ecta200731.pdf,Social Media and Collective Action in China,Econometrica,Bei Qin; David Strömberg; Yanhui Wu,"Bei Qin: Department of Accountancy, Economics and Finance, Hong Kong Baptist University; David Strömberg: Economics Department, University of Stockholm; Yanhui Wu: HKU Business School, University of Hong Kong",18206.0,17419.0,3,3,3,6,7,7,6,3,6,7,7,6,3,6,7,7,6,3,3,3,3,7,8,7,6,2,7,8,7,6,2,7,8,7,6,2,3,3,3,7,8,7,6,2,7,8,7,6,1,7,8,7,6,2,4,4,4,7,8,7,6,2,7,8,7,6,2,7,8,7,6,2,4,4,4,7,8,7,6,3,7,8,6,7,2,7,8,6,6,2
2,1_2,1. Econometrica/ecta200725.pdf,Ambiguous Contracts,Econometrica,Paul Dütting; Michal Feldman; Daniel Peretz; Larry Samuelson,"Google Research; School of Computer Science, Tel Aviv University; School of Computer Science, Tel Aviv University; Department of Economics, Yale University",11830.0,11448.0,3,3,3,6,3,7,5,2,7,3,6,5,2,7,4,6,5,2,4,4,4,7,8,6,5,2,7,8,6,5,2,7,8,6,5,2,4,3,3,8,9,7,6,2,8,9,7,6,3,8,9,7,6,2,3,3,3,7,8,6,5,2,7,8,6,5,2,7,8,6,5,2,4,4,4,7,8,6,5,2,8,9,7,6,2,8,9,7,6,2
3,1_3,1. Econometrica/ecta200741.pdf,PERSUASION MEETS DELEGATION,Econometrica,Anton Kolotilin; Andriy Zapechelnyuk,"Anton Kolotilin: School of Economics, UNSW Business School; Andriy Zapechelnyuk: School of Economics, University of Edinburgh",15756.0,15075.0,3,3,3,6,3,7,5,8,6,3,7,5,8,6,3,7,5,7,4,4,4,7,8,7,6,2,7,8,6,5,1,7,8,6,5,2,3,3,3,8,9,7,6,2,8,9,7,6,2,8,9,7,6,2,4,4,4,7,8,6,5,2,7,8,7,6,2,6,8,7,5,3,6,6,6,8,9,7,6,2,8,9,7,6,2,8,9,7,6,2
4,1_4,1. Econometrica/Econometrica - 2025 - Berger - Minimum Wages  Efficiency  and Welfare.pdf,"Minimum Wages, Efficiency, and Welfare",Econometrica,David Berger; Kyle Herkenhoff; Simon Mongey,"Economics Department, Duke University; Department of Economics, University of Minnesota; Research Division, Federal Reserve Bank of Minneapolis",18607.0,16735.0,3,3,3,6,5,7,6,2,6,5,7,6,3,6,5,7,6,2,3,3,3,7,8,6,5,1,7,8,6,6,1,7,8,6,6,1,3,3,3,7,8,6,6,2,7,8,7,6,2,7,8,6,5,2,3,3,3,4,8,7,6,2,4,8,7,6,2,6,8,7,6,2,4,4,4,7,9,7,6,2,7,9,8,6,2,7,8,7,6,2
5,1_5,1. Econometrica/ECTA19872-3-revised.pdf,The Impacts of Managerial Autonomy on Firm Outcomes,Econometrica,Namrata Kala,"Namrata Kala: Sloan School of Management, MIT",12440.0,11713.0,3,3,2,3,2,5,4,7,3,2,4,3,7,3,2,4,3,7,3,3,3,7,8,6,6,2,6,7,6,5,2,6,7,6,5,2,3,3,3,7,8,6,6,2,7,8,6,6,2,7,8,6,6,2,5,4,4,7,8,7,6,2,7,8,7,6,2,7,8,6,7,2,4,4,4,7,8,6,6,2,7,8,6,6,2,7,8,6,6,2
6,1_6,1. Econometrica/ecta200728.pdf,Sparse Network Asymptotics for Logistic Regression Under Possible Misspecification,Econometrica,Bryan S. Graham,"Bryan S. Graham: Department of Economics, University of California—Berkeley",14281.0,13478.0,3,3,3,6,5,7,4,2,6,7,7,5,3,6,7,7,5,3,3,3,3,7,6,6,5,2,7,6,7,5,2,7,6,6,5,2,3,3,3,7,8,6,5,2,7,8,6,5,1,7,8,6,5,2,4,3,3,7,8,6,5,2,8,7,6,5,2,8,7,6,5,2,6,6,6,8,9,7,6,2,8,9,7,6,2,8,9,7,6,2
7,1_7,1. Econometrica/Econometrica - 2025 - Sadler - Seeding a Simple Contagion.pdf,Seeding a Simple Contagion,Econometrica,Evan Sadler,"Evan Sadler: Department of Economics, Columbia University",12874.0,11765.0,3,3,3,6,5,7,6,2,6,5,7,5,2,6,5,7,6,2,3,3,3,6,5,6,4,2,6,5,6,4,2,6,5,6,4,2,3,3,3,7,8,6,5,2,7,7,6,5,2,7,7,6,5,2,5,4,4,7,8,6,5,2,7,8,6,5,2,7,8,7,6,2,4,4,3,7,8,6,5,2,7,8,6,5,2,7,8,6,6,2
8,1_8,1. Econometrica/ecta200715.pdf,CAUTION AND REFERENCE EFFECTS,Econometrica,SIMONE CERREIA-VIOGLIO; DAVID DILLENBERGER; PIETRO ORTOLEVA,"Department of Decision Sciences and IGIER, Bocconi University; Department of Economics, University of Pennsylvania; Department of Economics and SPIA, Princeton University",19555.0,18943.0,3,3,3,6,5,7,4,2,6,4,5,3,2,6,4,5,3,2,3,3,3,7,6,6,5,2,7,6,6,5,2,7,6,7,6,2,3,3,3,8,7,7,6,2,8,8,7,7,1,8,7,7,6,2,3,3,3,7,8,6,6,2,7,8,6,5,2,7,8,7,6,2,3,3,3,7,8,6,6,2,7,8,6,6,2,7,8,6,6,3
9,1_9,1. Econometrica/ecta200739.pdf,HISTORY’S MASTERS: THE EFFECT OF EUROPEAN MONARCHS ON STATE PERFORMANCE,Econometrica,SEBASTIAN OTTINGER; NICO VOIGTLÄNDER,"CERGE-EI; SEBASTIAN OTTINGER, CERGE-EI; NICO VOIGTLÄNDER, Anderson School of Management, UCLA and NBER",19102.0,18405.0,3,3,3,6,7,7,5,2,6,7,8,5,3,7,6,8,6,3,4,3,3,8,7,7,6,2,8,7,7,6,2,8,7,7,6,2,3,3,3,8,9,7,6,2,8,9,7,6,2,8,9,7,7,2,4,4,3,7,8,8,7,2,7,8,8,7,3,7,8,8,7,2,4,4,5,7,8,7,6,2,8,7,7,6,2,7,8,8,6,2
